Rank,URL,Latency
36,msn.com/,569.451
3,google.com/,97.4025
80,rambler.ru/,1560.27
94,photobucket.com/,1072.09
27,statcounter.com/,491.472
98,etsy.com/,133.76
23,digg.com/,1055.77
62,technorati.com/,589.214
21,youtu.be/,60.4583
31,nytimes.com/,724.174
68,nih.gov/,181.537
83,godaddy.com/,193.896
73,aol.com/,748.829
21,youtu.be/,67.6583
51,sourceforge.net/,231.621
80,rambler.ru/,1372.6
46,t.co/,171.452
47,livejournal.com/,1185.1
84,issuu.com/,144.815
16,w3.org/,98.0514
61,networkadvertising.org/,564.516
37,macromedia.com/,971.695
23,digg.com/,931.025
34,bbc.co.uk/,851.256
19,vimeo.com/,76.409
31,nytimes.com/,557.579
15,tumblr.com/,71.7665
63,sina.com.cn/,1651.53
49,mail.ru/,447.716
88,wix.com/,200.308
26,addthis.com/,296.086
48,imdb.com/,776.957
73,aol.com/,937.494
34,bbc.co.uk/,776.698
82,tripod.com/,325.106
83,godaddy.com/,121.889
53,tinyurl.com/,197.983
20,microsoft.com/,1083.22
69,huffingtonpost.com/,358.283
78,taobao.com/,1395.92
100,dailymotion.com/,1575.55
12,amazon.com/,1686.75
7,blogspot.com/,170.413
78,taobao.com/,4.06634
27,statcounter.com/,240.443
27,statcounter.com/,1.53434
68,nih.gov/,161.432
42,yandex.ru/,1187.5
13,flickr.com/,115.82
30,delicious.com/,206.037
26,addthis.com/,222.288
30,delicious.com/,81.075
55,google.co.jp/,181.148
75,ameblo.jp/,675.251
51,sourceforge.net/,194.555
77,europa.eu/,368.287
63,sina.com.cn/,1300.54
71,mozilla.org/,214.282
91,homestead.com/,433.382
19,vimeo.com/,90.8096
24,baidu.com/,546.239
94,photobucket.com/,694.635
40,gov.uk/,215.025
49,mail.ru/,291.138
92,reuters.com/,628.075
96,clickbank.net/,227.357
89,mapquest.com/,551.57
79,bing.com/,696.595
100,dailymotion.com/,1865.52
71,mozilla.org/,179.364
90,washingtonpost.com/,528.105
37,macromedia.com/,715.285
68,nih.gov/,131.067
68,nih.gov/,2.261
40,gov.uk/,46.4712
6,adobe.com/,921.882
51,sourceforge.net/,181.027
71,mozilla.org/,180.628
3,google.com/,92.5964
8,wikipedia.org/,154.723
28,feedburner.com/,36.0086
75,ameblo.jp/,739.854
55,google.co.jp/,96.959
67,yahoo.co.jp/,1335.11
75,ameblo.jp/,1.05633
99,amazon.co.uk/,2073.2
1,facebook.com/,118.388
26,addthis.com/,220.003
49,mail.ru/,287.809
95,forbes.com/,212.304
31,nytimes.com/,776.904
1,facebook.com/,77.8776
89,mapquest.com/,480.715
86,geocities.com/,90.573
35,blogger.com/,192.085
81,guardian.co.uk/,1985.21
42,yandex.ru/,973.706
1,facebook.com/,107.56
37,macromedia.com/,882.092
54,vk.com/,5001.31
